kalimat,status
eeh eeeh eh ehhh uhh eeeh aah ihh ahh aaah ih uhh ihh uh eh uhh ah uuh ih eeh,2
aah uhhh ahhh ohhh ohhh uuuh ihh eeeh iih ah uhhh ih uh iih eeh ohhh ahh uhh,0
ahh uhh ehhh ah uuuh ohh ehh ehh uhhh ah oooh ahh ooh ooh eeh ohh ooh ahh uuh ooh uuh ih eeh,2
ah ihhh uuh ohh ihh oh oh uuh ahh ihhh oooh ahh aaah ooh ah ah ehhh ihhh,2
ahh uuuh eh ih aah uh,2
eeh ihhh eeh ehh ah iih ih ohhh ooh ehhh uhh aah ihh eeh ahhh uuuh ohh ihh uuh iiih,0
ihh ahh oh ahhh aaah uuuh ah ohhh eeh eeeh oh ohhh aah aah ooh eeeh ohh aaah eeeh aaah ihh ahhh aah oooh ahh oh oooh eeeh,0
aah ahhh ehh ehhh ihh ahh eh ooh oh ih ohh eh ohhh uuh uuuh eh oh uhh ohh uhhh eeh ihh uhh uuh ehh ah uhh ohh,2
aaah ooh ihhh ihh ohh uuuh ooh ihh,1
ooh uh iiih uhh aaah uhhh eeeh iih ihh eh,1
ah uuuh uhhh aah oooh eh uhh ihhh ahhh eeeh ehh ihh,0
eeh uhh ahhh ihhh ihh eeh ohh uuuh ihh uhh eh aah ih ih iih ohhh aah ihh ooh ahhh ah ihh ah aah aaah,0
eeeh ah uuuh oh ohhh,0
ahhh aah eeh oh ehh uhhh ohhh eh aaah ohhh uhhh ehhh ihhh uhh iih ahh ohhh eh ehhh ah uuh ohh ihhh uuh uh ohhh iih uuuh ah,0
ah ehh uhh aaah iih aaah iih ih ehh ahh ahhh eeh ehh uh eeeh eeh ihh eeh uhh eh,0
eeh eeeh iiih iiih iiih eeh uuh uuuh ih ohhh ahh iiih ohh oooh oooh eeh iih oooh,1
uhh aaah ah ehhh oooh uhh iiih aah ih,2
uhhh aaah eeh uhhh eeh ah ohh ahh ihh uhh ahh eeeh iiih eeh uh oh ihh aaah ih,0
eh aah ahhh ihh ih uuuh eh oh ohhh ohhh ooh ehhh ohhh uuuh uuh,1
oh eh eeh aaah ahh uuh ahh ah,1
uhhh uhh aah eeh uhhh ehhh ihh ah,0
eeeh eeeh iih eeh ihhh ihh iih aaah ohh,1
uhhh ehh eeh uhh eeh ahh eeh ohh ihh uuuh uhh aah ehh ahh oh,0
ihhh oh ihh uhh uuuh eeh uhh ihhh ehh ah ohh uuuh uh,0
ehhh oh eeh ooh iih ah aah uh eeeh ihh eeeh ohhh uh uh ohhh ohh uhhh oh ohh eeh ohhh iiih uhhh iih aaah oooh ehh eeh,0
uh uhh ihhh aaah uh ih oh iiih eeh ih uuh uuh eeh uhhh ooh iih eeeh eeh uhh eeh uhh ohhh uuuh aah aah aah uh uhhh aaah eeeh,1
iih uh ahh oh ehhh aah uuuh,1
oh iiih eh ohhh eeh ahh iiih aaah uh ahhh uh iih ohhh ihh uh ihh uhhh uh uuuh uuh ihhh aah eeh aah uh ehhh iiih,0
eh oh iiih ehhh ihh ahh uhh ehh,2
eh ohhh ihhh ahhh iih ahh iih ah uuuh eeh aaah ahh iih oooh ih aaah uuh iih iiih oh ehh ohh ooh eh,0
ehhh uhhh aaah uuuh ihh uh ohhh iiih eh uuh eeh,0
uuuh aah ehhh aaah ihh ih uhh uhh aah eh uuh uuuh ehh uh aah ehhh aaah uhhh uh eeh uhh uhhh iih ahh oh oooh ih,1
eh ah eh ihh uhhh ohhh ahhh uhhh uuh ooh uh oh,0
uhh aaah ohh uh ohh ohh ehhh uhh uh uh ehhh uhh eeh oooh ooh ehh ahhh uuuh aah eh ohhh aah ah ohh aaah,2
uhh uhh ohh uuuh uhh ohh eeeh ohh iih ah aaah aah aaah oooh ehhh ih ahh,2
ohh iih ohhh ahhh ah aah ohh ohhh ohhh aah ohhh aaah uuuh aaah,0
uuh ohhh ah eeeh ohh ihh uuh ehhh aah ohh eh ah uhhh ih ohh ahhh,2
uuh iih eeh oooh ohh iih ohhh iiih iih eh eeeh uuuh eeeh eh ahh uuh eh ahhh ooh uh ohh uuuh eeh,2
uuh ih ahhh iiih ihhh iih aaah ooh ihh eh ih uuh ahh iiih iih oooh eh ihhh eh oh ah ahhh ahh ihhh uhh ihhh ehhh ehh,2
uuuh ahhh uuh ahh ah ehhh oooh uh ih uuuh eeeh uh ihhh uuuh,0
ehhh oooh oh uuuh iih ah eh ehh eh uuh ehh aah iiih uuh aah,2
eeh eh oh ohhh ehh aaah ihhh iih iih uuuh ihhh uuuh oh uhh ih ooh eh iiih ih aah aaah oooh aah ihhh eeh,1
uh iih ehhh eeh uuh uh iih ih eh aah eeeh,2
eeh ooh ah ohh uhh ohhh ihhh ooh eeeh uh,2
ooh uh ohhh eh uhh uuh uuuh ehhh iiih eeeh aah eeeh aaah uuuh uuuh uh uhh,2
ihhh iiih ihhh ohhh oh ooh ehh oh uuh ehh eeh ah uhhh ohh ihhh ohh ohh,2
iih aaah eh iiih iih ohh eh uhhh iiih ahh iih ih oooh ohh uhh uhhh ohh,2
ehhh aaah aah uuh ihhh ihhh ahh uh ihh uhhh ahh ohh uuh aaah iih ooh ehh uuuh ehhh uhh ihhh ihhh uhhh,2
uuuh ah aaah ihh oh aaah iiih ihhh ihh iih ihhh uh ah eeeh ihh uuh uuh iiih ih ohhh ihh,0
ooh uuuh ooh uhh aah eeh ihh eh ihh ihhh,2
iiih uhhh ohh ohh ih uhhh uuuh uhhh iiih uhh uhh iiih ehhh ooh uuh aah ihhh uh oooh uuh eeeh eh,2
ehh uuuh oooh ehhh ehh oooh uuh ehh eh uhhh eh ahhh ihhh oh iiih ohhh ehhh ahh ooh uhhh,0
eeh uhh uuh ah aaah eh aaah aah ihh eeeh aah aah aah ohhh uh ooh uuuh aaah aah,2
ahh ih uuh iih ehhh ohh uuh ahhh ahh,2
ahh ehh ehh uuuh uhhh ohh iiih oh uh aaah eeh ihh eh aah ahhh ihhh oh iih ohhh ohhh eeh eh ehhh ohhh ehh,0
ehh ahh ohh oh uuuh eeh eeh uuuh uhhh ihhh ehhh aaah uhh oh eeh ahhh oooh ehh ihhh uuh eeeh,0
uh uuuh iih uh ahhh ihh,0
oh ahh uhhh iih ohhh oh aaah ah oooh eeeh ehh ihh iih uhh uuh eeeh ehh eh,0
iiih iih oh oh ooh uuh ahh aaah oh ehh ohhh uuuh eh iiih ahhh eeeh iih uuuh uuh oh ihh,0
uuh uuuh uhh ooh uhh uh uuuh ah ahh uhh ahh ehh uhhh ooh ahhh ohhh eh iiih uhh uhhh aaah iih ooh ooh oh ohh ehh,2
oooh uuuh aah ooh uhh uh ohhh ohh uh ah ehhh ooh ahhh ehhh uhh uhh oooh ihhh ehh ohh aaah,2
aaah eh uuuh ahhh aaah iiih ahh ihh eh ohhh oh eh ihhh ehhh oooh iiih aaah ihh ih iih ahh oh ih uh ah uhhh uhh,0
ih oh ohhh eeeh ohhh eeh uuuh eeh uuh,0
uuh uhhh ahhh oh eeeh uhh ah ehhh ehhh aaah iiih eh ihh eeeh ah eeeh ohhh ihhh uuuh eh ah oh ih oh ahh aaah eh ohh,2
ihhh ih ohhh oh ohhh iiih ahhh ih eeh uuh uuh eh,2
eh uuh ihhh eeeh ohh uhhh ahh ahhh ehhh iiih ehhh ohh eeh oh iiih ihh uhhh iih ooh ehhh ah,2
uhhh ahhh ahh uuh aaah iiih uuh aah aaah oooh ehhh ehh aah aah ahhh ooh eh oh oh oooh,1
ohhh eh ahh iiih iih ehhh aah,2
eeh iiih ihh uuh eeeh uhhh,1
ahh uuuh oh uhh uuh aaah,1
ahhh ehhh ah uuuh uhhh ooh ahhh uuuh ohh ooh ihh eeh ooh ahhh ehh uhhh ohh ihhh,0
ih ooh ahh ohhh eeh aaah aah uuuh iih ooh ooh,2
eeeh uh eeeh uuh ih eeeh aaah ooh oh uh oooh ah oooh ohhh eeeh ohhh oh ahhh ahh ehhh ehhh ehhh eeeh,2
ahh eh iiih ih uhh eh ihhh aah ihh ihh ah iiih eeh ohhh iih iih iih uuuh ih aah aaah uh uuuh,1
oooh uuuh uh oh aaah ohhh ahhh ihh,0
ahh ihh ah ihhh ehhh ihh ah eeeh ehh iiih ih uuuh ooh eh uhh ooh eeeh iiih uhhh,2
iiih eeeh iiih ihhh ehh ooh ah ahhh oooh uhh ahhh uhhh eeh ahh iih uuh ehh aaah ooh ehhh ehh oooh ihh ohh ah aaah ihhh eh ah,0
oh eh ohhh uhhh ohhh ehh ehhh oooh eeh ihhh ahh ahhh uhh aaah aaah,0
uuuh oh eeh aaah uuuh ahhh,0
eh ah aaah iiih aaah iiih iiih eh ehh uuh,2
uuh ehh ooh aah eeeh ahhh eh uh ehh ihh,1
uuuh iih oooh uh eeh ohh eeeh eeeh ih ooh ohh ihh ohhh ihhh uuuh ahh ih uuuh ehhh uuh uuuh eeeh oh ih ahh oooh uh ooh iiih iiih,2
ihhh ihhh oooh uhhh ohh uuuh uhhh eeh ih ooh uuh uuuh iih aaah uhh uuh,1
ohhh uhhh ihhh aaah iiih eeeh ahh ihhh uuuh iih ihh ohh uuuh eh,1
ihhh uuh eh uhh iih uhhh ah aaah oooh eh,1
oooh aah uh ahh uuuh uhhh uhhh uuh uhh uhhh ooh iiih oh ooh ohh uuh oooh uhh uuuh eh iiih ehhh aah eeh uuh,2
uuh ohh ehh ahh iih aaah ahhh uuh ooh ehh ahh oh uh iih aaah oooh oh uh aah ehhh ehhh,0
ihhh ehh ehhh aaah uuuh ihh oooh iiih iih ahh ih eeeh uh aah uhh ooh oh ihh,1
eeeh ehh uhhh uuh uuuh oh ahh,1
uhhh uhhh ah ih uh aah uhh ohh aah eeeh iiih uhh ehh ahh ihhh oh ahhh ihhh iih uhhh uh,2
uuuh ahhh ahh ahh uuh ohh aaah oh iiih ohh,2
eeh aaah ehhh ahhh aaah ahh aah iiih uhhh ooh ohh uh ah ahhh oh ohh ah ehhh eeh ahhh ehhh iiih uhhh oooh uuh oh ihhh uh,0
aah ehhh ah iiih uuuh iiih iih oooh uh aah ohh ihhh aaah,2
oooh ih uuuh eh ihhh ehh ehh,1
ohh aah aaah ohhh iih uuh eh eh ahh ihhh uuh uh uhh eeh ahh ahhh ih,2
ih uh uhh uuh ihh ahhh ahhh ahh uhh eeeh uhh ah ah ihhh ehh uhhh ohh aaah ihh uuh,1
ahh iih uuuh aah ihh,1
ah aaah uhh eh uuuh ooh ahhh ih ah iih,0
ohh ooh ahhh ahhh uh iih eeeh iiih ohhh ehhh ahhh oooh uuh uuuh ohh eeh uhh ah ah eeeh ih,1
ehhh eh ohhh iiih uhhh ehhh iiih ah ooh iiih ehhh ooh eeh ah ehh ihhh ahh ooh ahh iih ah eeeh ehhh aah ahhh uhhh uh eh ohhh,2
oh ehh aaah eh ahhh uh iih uuh aaah eeh ih uhh ahhh iih eh oooh ahh uuuh uhhh aaah aaah oh ah ahhh uuuh ehh ehh,0
ohhh oh uuh ehhh eh oh ohh oh uuuh ih ihh eh uhh aaah ihhh eh uh uh,1
iiih uuuh uuh ooh ohhh aah ooh uh uuh eh ohh eeh ehh aaah ih aah ihhh ah aaah eeh,2
eeeh uh aaah ohh iih iih ehh ihhh ohhh ahh uhh aaah oh uuuh iih eeh aaah iiih aaah uhh,0
iiih uuuh uuuh ohhh eh oooh ahhh uhh ehhh,1
iiih uh ahhh ohhh ahhh iiih uh iih iiih uhhh ih iiih uuh aah ihh ohh aah ohhh eh aah uuh ehhh ooh iiih ooh ehhh aah aah uhh,2
oooh ah ih ih iih ehh ohhh ih uhhh ooh ahh uhhh,0
ahh uuuh ih ih oh iih eeh uhhh uuh uh uhhh oooh uuh oh eeh ehh ehhh ohhh ohhh ooh ahh aah iiih oooh ah ooh eeh uuh,0
uuuh ihh ihh uh ahh aaah oooh eh uhh eeeh ohh iih ahh ihh ahhh ohh uhhh aaah aah iih ahh ooh ehhh ohhh ihh iiih oh oh ooh ihhh,0
oooh uuuh uh ihhh iiih eeeh ohhh,1
ahh ahhh oh ohh uh ihh ihhh uhhh uuh ahhh iih ih oh ehh oh eeh uuuh ohh ohhh iiih eh iiih ooh ohh,0
ehh iih uh iiih uhhh ooh ihhh ohhh iiih iiih aah aah ohhh ooh uuuh oh aah,2
ehhh ehhh oh oooh eh uuh iiih ihhh ah,2
iiih ooh eeh uuuh uuuh ehhh oh ooh ihhh ohh ohh eh ahhh ehh uhh eh ehhh ahhh uhh,2
ahhh iih ehh aah ehh ahhh,0
ehhh ehhh ihh oooh uhhh ohh uuuh ihhh ohhh iiih uuuh ihh ohh uhh eeeh aaah eeh ohhh oh eeeh ih ihhh eh oh eeeh ahh ahh,2
oh ihh eeeh iiih ooh iiih uh ah ah ih ehhh aaah eh ohh uhh ooh uuuh ih eeh uhhh ihhh ehh eeeh uh oh uhhh aah,2
eeh ehh eeeh ohhh aaah ooh ehh ohhh aaah ohhh uuuh,0
ihhh ih oh ahh ih ehhh oooh ehh ehh ihhh eeh ih eh ihhh uhh uuuh ihh iiih uh ehh oh ah iiih,2
eh iih ahhh ih ihhh ooh ih ehh eeh ahhh uuh uhh iiih ahhh ehhh ohhh,2
ahhh eeeh ooh ohh uuh uhhh oh ehhh ehhh ah uuuh uuh ehh ahh ahhh ihh ehh uh ahhh ihh,0
ihhh ehh ahhh oh eeeh eeh ihhh oh ehh ohhh oooh ohhh aah aah eh ihhh oh ohh ohhh ehh iih ohh aaah ehh uuuh ohhh iiih oh uhh,0
ahh ah ihh ihh ohhh ah aah ahhh ehh ohhh oh uhhh uhhh ahh ih iih,0
ohh uuh uuh ohhh ihhh ih,2
uuuh uhhh ihhh ahh ahh ihhh iih aah oh uhhh oh,1
uhhh ohhh uuuh iiih eeh eeh ehhh ehhh,0
ooh ah uh aah eeh eeeh oh,1
aaah ahh ohh oooh ohh ooh uuuh iih aah eeeh ihhh ohh uuuh ehh eeh iih iih ohh iiih uuh,2
ehh iih ah aah ooh ahhh uh eeh iih ihh oooh,0
uh ohh eeh uh iih uhh aah ehh ooh eeh ah ehh ohhh uhh ah uuh aah ehh uh ahh ah ahhh eh ahh ehh,0
iiih ehh eh eh ih ah ahh ohhh oh iiih eeeh ohh oh iih ohh eh ahh ihhh oh iiih ehh ohh ihh ihhh ihhh uhhh ehh uhh,2
ohhh ihh aaah uhh uhhh uhh oh ahhh ih eeh uh uh aah ah,0
oh ohh ah ihh aaah uuh eh ahhh uhh eeh eeh ohhh oooh,0
eh ooh iiih eeh iih ohh ih ahhh oh aaah uhh ah ohh oooh eeh uhh ih eeeh iiih uuh ahh,2
eh eeeh uhhh uuuh ehhh ah ehh ohhh uh eh ehhh ihh uuh ah oooh,0
ahhh iiih iih eeh ihh uhhh uh ah aah ahh ahhh aaah eeh uuuh,0
eeh oh ah ehh ooh ohh uuuh ohhh ih uuuh ehhh uuh ahh aaah iih oh ohh eeeh iih ahhh ohhh iiih aaah,0
eh ih ahhh ohh iih ihh ohh oh ooh iiih aah uhhh uhh uh ih ehh ehh,2
ah aaah uh eeh iiih eh ohh uuuh ahh ohhh ooh,1
ooh ah eeeh iiih ihh,2
eh ohh iiih ooh iih ih aaah uuh uuh ehh uuuh ohh aah,2
ooh aah oh uhhh ehh ahh ihhh uhhh,1
oh oh ih aah ahh eh oh ih eeh uuuh iiih eeeh eeh ihhh ah aaah ehh uuh ihh eeh ahhh eeh ohhh ihh uhhh ohh ahhh,0
uhh ohh ehh iiih uhh iih ohhh ohh ehhh aah iih oh iih iih eeeh aah ehhh aah uuh iih ihhh aaah ohhh ahh ihh ihh ih uh,2
uuh ihh aaah ih ooh ih uh ih ohhh ehh ehh uh uh ahhh aaah iih ohh ahh iiih aaah eh,0
uh ohh uhhh uhh eeeh eeeh eeh ihh iiih,2
ahhh uuuh eh iih ih uh ooh uuh ooh,2
eeeh iih uuh ihhh ehhh ohhh ehhh aaah eeh ehh ehh,1
uhhh ehh iih eeeh ihh ooh,0
aah eeeh uh ahhh ihh ih uuuh aaah uuuh uhhh ah uh uuh ahh eeh uuh,0
ihhh oh aaah aah ihhh oooh ohh aaah ooh ohh ihhh ahh uh iih,2
iiih ahh eeh eeeh ah,2
uuh ehh eeeh ihh aah oh ohhh uh,0
ahh ih oooh ihh ehhh ah uuh aah ah eeh oooh iih aaah ohh ah ahh ehhh ooh uuuh eh ooh ihh oooh,1
uhh ooh uhhh aah oooh ehhh ohh oh iiih eeh uhh ihh ihhh iiih ahhh ihhh uuh ahhh ihhh,2
ih ihhh ohhh uuh ihh ih ah iih aaah iiih uhh eeeh iiih ahh eeeh,2
oh eh ah ohhh uuuh ihhh ah ehh uh aah iiih uuuh aaah ihhh iiih eeh uhhh ihh eeeh uhh ihhh ehhh eh ohh eeh aaah ih ihhh ihh ohhh,0
ihh uuh aah aaah eeh eeh uhh uuh ooh iih iiih ohh eh ih ooh aah iiih ooh oooh ahhh iiih oh iiih iih,2
ahhh ooh ah ehh ihhh ih ihhh ahh ohh ih ehhh ahhh ahh iih,2
ah ahh ohhh eh ihhh ehhh ih eeeh uuuh ihh eh uh ahhh oh uuh ih oh eeeh iiih ahh ah aaah uuh ihhh ahhh eeeh aaah uh iiih eeh,2
ah aah ihh ih ih ah ahh ih eh ehhh uh aaah uuuh uuuh aaah ahhh ah oh iiih ooh ehhh ohh ehhh oooh,1
ohh ehhh ih uhhh aah ihh uuuh oooh aah ohh ihhh ih uuuh ohh uuh eeh uuuh ohh ehh ahh ehh ihhh ahhh uhh aaah ih ih ahh,2
oh eh ihhh eeh ehh ah uuh oooh,0
ihhh eh uuh ehhh uhh uhhh eeh oooh eeh uuuh ohh ohh iih ooh ehhh,2
oh ahh uhhh ahhh aaah uuh eeh eeh uhhh oh ahhh oh uuuh ah uuuh oh iih iih iiih ooh eh ooh ihh uh ehhh iih,0
ohhh ahh uuh oooh uuuh ehh ihh iiih eeeh ih iih aah iiih oh eeeh ohh uhh uuh uhh iih eeh ooh oooh iih eeh eh,2
aah ohhh ih aah uhhh ahhh uuh eh ehh ih ihhh ooh ah ahhh ih uhhh eh ahh oh ih,2
oh uh ah ehh iih,0
eeh ihhh ohhh ohh ah uuuh iih oooh ih eeh aah aaah eh uuh aah oh ehhh ahhh uhh ihhh oooh aaah ehh ih ihh ehhh,0
eeeh uh ihh ah ihhh ih uhh iiih uuh uhhh ohhh ohhh uuuh ahhh oh ahh ahh uuh uh iih ahhh ahhh oooh ahh oooh ooh oh iiih aah,0
eeh uuuh uhh ih ohh ooh iih ohhh ahh uuh ohhh ehh aah uuuh ah ahh eeeh oooh eeh aaah ihh ihh oh,0
uuuh aah ooh eeh uhhh iiih aaah ah ahh eeeh uuuh iih aaah oooh iiih aah oh ih ehh,0
uhh ohh iih uh uh ih oooh oooh ahhh oooh oooh iih ehh uh uhh eeh uh aaah oooh ehh uuuh uuh oh ohhh aaah eeeh ihhh ihhh,0
ehh oh ohh ohh ehhh aaah ehh eeh oooh oh ehh aah uh uh ooh uuh iih eeh ihh iiih ohh eh iih ohh iih ooh,0
uh ooh oh aaah uhh ihhh ihh ahh eeh uhhh ah ehhh ih uh ah eh ihhh ih eh ih ihh ahh ih aaah iih aah ah ooh,2
iih eh ehh uhh ohh ahh uh ihh ahh iiih uhhh,2
ahhh ehh uuh uhhh aah ih oooh ehh uhhh uh uuh ihh aaah oooh uhh oh ihhh ih ehhh ohh,0
ah ehhh iiih ihhh iiih ohh ahhh iiih aaah iih ahhh uhhh aah aaah uhhh ehhh uuh,2
uuh uh uuh uhhh ih eh oooh aaah uhh eeh,1
aaah uhhh ahh ehhh uuh uuh uh iih uhhh uhh uhhh ah eeeh oh ooh uh eh,1
uuh ooh uuh aaah ihh ihhh,2
ohhh ahh oh ehhh aaah ehhh aaah aaah uuuh,0
uhhh ohh ahh oooh iiih iiih iiih eeh aah aah iih,2
uhh uhh ihh oh ahh uhh uuh uh oooh aah iih ohh oooh aah uuh ehhh uuuh iiih ohhh aaah iih eeeh uhhh iih uuh,2
ehh uhhh uhhh ih ihhh uuuh uuh oh uhh uh ohhh oooh uhh,0
ehh ihh uh uh uh ih eh iih ohh ohh,0
eh uuh eeeh uuh ehhh uh ihhh aaah uhh ihh ohhh ah ihhh ahhh ohh iiih aah uhhh iiih ohhh eeh ih,2
eeh ehh ohh iih iiih ihh ah ehh iiih ih ih iih ih eeh aaah iih uhh ehhh,0
aah ih eeh ohh ooh uuh oooh iih aah aah uhh ehhh eeh eh oooh ah eh ohhh uuh ahh oooh,2
uh ohhh oh eh uhhh eeh ihh iiih ohh aaah ihhh ohh ohh aaah aah uhh,1
iih ah ohhh eeh uh oooh uh ohh eh eh ooh uuh uhhh oh oh eh,0
ohhh ih eeh uhhh uh eh oh iiih ooh ohh eh oooh iih ehh aah iih ohh ah eeeh ahhh ah ooh uhh oooh ooh iih,0
ehhh ihh ahhh iiih eeeh uhh,2
eeh eeeh ahhh uh ih ehh ohhh iiih ihhh oooh iiih eh ih ohh eeeh iiih oh ah uuuh ihhh ehh,2
uhh ehh iih ahh ehhh ah aah uhh ihh oh oh ah ooh ahhh iih aaah ih uuh ihhh aah ohh oh uh iih ehhh ihh ooh,1
ah iiih eeeh ooh aaah uh eeeh aaah iiih ohhh ihhh oh aah ihh oooh ohhh,0
ihhh uh aah uh eeeh ah eeh eeh uuuh ehhh oooh oooh uhhh iih uh uuuh ohh ahhh ooh ehhh uhh uh ohhh ehh aah aaah,0
ohhh ehhh ahhh ohhh ahh uhh ah iih ah ehh ehhh iih eeeh iiih ih ehh uh ih ahh ih ehhh ehhh ahh,2
iiih aah oooh uhhh ehh oooh uh ihh uhhh aaah iiih ehh ihh oooh iih uuuh aah uhhh iih aah uuuh,0
uhh iiih ohh ahhh iiih ahh uh aaah ahhh eeh uhhh eeh,0
eeh ihhh uh ah oh uhhh eeeh uhhh oh,0
ahh oooh ihhh uhhh uh oh oh ihh oh ihh eeeh ihh eeh eeeh eh eeh uhhh iih ooh aah aaah oh uuh ih aaah,0
eeeh uuuh ah ihhh uhhh oh oh ooh iiih oh ohh iih ohhh,0
ih aah eeh aah ohhh ahh ihh aaah iiih iiih oooh ahhh ihhh uuuh aah uhhh ihh uh eeeh aah iih uhh ah ahhh uh ah ooh ohhh eeeh,0
ohhh ih ooh aaah uuh aaah uhhh ah eeeh eh ahh ohhh oh iiih uuh ihhh,2
aah eh ihhh uuh ahhh ooh eeeh uh ehhh ihh oooh iih oooh oh uh aah oooh eeeh aaah eeeh ih aah ah oh iih iiih ah iih ohh,1
eeh ohhh ahh aaah eh,1
ohhh ahh ohh uhh eh ooh ahhh oooh iih oooh eeeh eeh eh ihhh uhh ehhh ih uuh,2
ahhh uhhh ihh ohhh ah oooh ehh ahhh oooh ihh iih ahh ehh ah ahh ahhh ihh uuh eeh ihhh ahh oh,0
aaah eh eeh uh ehhh,1
eh ohhh ooh oooh ihh uhhh eeh uhhh ih aaah ooh uuuh eh,0
uuh oh aaah uhhh eeeh eeeh oooh ahhh ah ehh ahhh ih ih uh eeeh oh,0
aah ehh ahhh ehhh uuuh oh,0
oooh oh uuh eeh oooh uh oh aaah uhh aaah ehhh,0
uuh oh uhhh ahhh iih uhhh ohhh iiih ih ohh aaah uh ihhh ohhh eeh iih ihh ehhh ooh eeeh ih oh oooh eeeh ihh uuuh ehh ih iiih aah,0
ihh ih ihh iih ahhh uh oooh ahh oooh ihhh ohhh aah eeeh ehh ah ih uhhh ohhh ohh aah oooh iiih,0
uuh uhhh uuuh ahhh uuh ehhh eeh eeeh aaah ih oooh oooh eh oh uuh eh uuuh uuuh iih aaah uh uuh oooh ehhh uhh aah,0
ahhh ooh eh ahh uh aah ihhh eeh uhhh uh,1
ihhh uhh ihh aah ihhh ooh aaah aah ooh ahh uuh uh ih ehh ahh uuh iih oh ihh uhhh uh eeeh,2
ooh ahh eh ohh uhhh eeh,2
uh ahhh uuh eeh aah ih uhh oh ehh ah eh,1
uhhh aah ooh ooh iiih ihhh iiih eh iiih oh uhhh uh uh ehhh eeeh ahhh eeeh aah ooh ihh ehhh oooh uh oooh,2
ih iiih uuh ihhh uh ah ahhh ooh ehhh aah aaah ah uhhh ahh ihhh ehhh iiih uuh ohhh uuuh ahhh ihhh ehh iiih ooh uhhh ihh,2
ihh aah ihh ohhh eeh ihhh iiih uhh ehhh ahh ooh eeeh eeeh eeh ahhh ihh ih eh eeh aaah ooh aaah ihh eeeh eeeh uhhh uhhh,2
eeh ihh ohh uuh ah uhh oooh iih ah iih ooh ihhh uhhh ihhh uhhh uuh oooh oh iih ih oooh ehhh ohhh aah ihhh,0
oh ehhh ooh ehhh ohh iih eeeh oh ih eeh iih ehh ehh ehhh eeeh eeeh eeeh aah uhhh eeh oh ahh ohhh uuh ihh,2
uuh eeeh uuh ahh uhhh ohh,2
iih uuh uhhh uhhh iiih uuh uhhh iiih ihh aah ahh ihh uhh eeeh ohhh eeeh eh eeh iih,2
aaah iih ehhh aaah ehhh ihhh aah oooh ehh aaah eh ohh ehhh eeh ohh uuuh oooh uh uuh ehh eeh iih ihhh ihhh,0
oooh eh ihhh aaah eh ehhh ih uhhh ehhh uhh ih,2
uuh uuh uh uuuh aah ehh uhhh oooh,0
oh oh ohhh ih uhh ohh oh ihh ooh ihh oooh,0
ihhh eh eh iiih ih aah ihhh eeeh oh ohhh,2
ih eeeh ehh aah ihh ih ehh ih ahh eeh aah ahhh,2
ohhh ih ooh uh uuh ahhh ooh eeeh ihhh ooh oh eeeh aah oh eh eeeh ahh ehhh eh uhh,2
uuh ihhh uhhh eh ahhh oh ooh eeh aaah iiih eeeh eh ehh aah uhhh uhh uh ahhh oooh oh uuuh ihh aah uh uh ehh,0
oh ohh iih oooh aaah uuh eeh iiih eeeh eh ahh ehh,1
eeh uhh uhh uhhh aah ih eh uuuh uhhh iih ihh ohhh,0
ohh ohhh ah ohh oooh ah uuh uh oh uuh uuuh eeh ohhh ehhh ehhh ahhh ihh iiih oooh iih ohhh eh aah ohhh iih ehhh iiih ehh uhhh oh,0
eh ehhh ahhh uhhh aah oooh,1
oh iih oooh oooh iih oh aah aaah oh uh uhh uh ihh uuh aaah uuuh oooh uhhh iih oh eeh aaah ehhh eh uhh uhhh ehhh ehh uhh ih,0
aaah eh oh uhhh oooh ih ohh ihhh uhhh ohh ah,1
eh ahh eh ehh iiih uhh aaah uhhh uhh ohhh ooh oooh,2
ahhh ooh iiih oh ahhh ihhh ahhh uhhh uuh eeh ehh ehh oh ehhh ah uhh ehh eh oh ah uhh iiih eh ihh ehhh iih,0
aaah ohh ah ah ehh eeh oh oooh uuh ih ooh ohh ehhh ah ehhh eh aaah,1
eh oh uhh ohhh ih uuh eeeh iiih eeeh ooh ah iiih iih ahh eh ih oooh eh uuh ihhh ahh aaah eeeh ehhh oh uuh aah ehh eeeh uh,2
uhh uuuh uh ah uhh aaah uh uuuh iiih uhh,0
oooh aah eeeh uuh aaah ih ohh ohhh ah ehhh ihhh ahh aaah ihh oh uuh eeh ohhh,1
ooh ehh oh uuh ohhh ahh eeeh ooh,2
uhh uhh uhh iiih aaah ihh uhh,2
ohh uh ehhh iiih aaah uhhh aaah uhhh oooh ehh,0
oh iih iiih uh ohh aaah iiih uuuh ehhh ohh iih eeeh ihh ohh eeh uhh eh oh eeeh ihhh aah ahh ihh ooh iih oh ohh oh ahhh aaah,1
ih ah eeh ih uh uhhh ohhh uhh ooh uh uuuh eeeh ah ihhh,0
iih oh uh uh uhh eh aaah uhh ehh oooh aaah uuh iih ehh iih eeh aah ihh,0
ohh uhh ihh oh ohh oh oooh ihhh uuuh ohhh ehh iih uh eeeh ehhh eh ohhh eeh ihhh uuh uuuh aaah ihh uhh ooh eeh ahhh iiih ehh,0
aah ehhh uuuh ihh aaah ohh ohhh oooh oh ahh ehhh iih ahh iih ahh ahhh ohhh eh ih eeh,0
ah eh iih ohh ihh eh ahh ahhh,1
